13098,11
13451,11
15694,7
16040,7
16395,7
18836,8
19056,8
19697,3
20350,6
20570,6
20815,6
21541,5
21749,5
21987,5
22896,3
23125,3
23491,3
24860,0
25759,9
26779,4
26939,4
28147,3
28325,3
29438,7
29629,7
29878,7
30601,3
30810,3
31958,0
32921,2
33810,7
34039,7
34208,7
35156,3
35315,3
36182,0
37027,9
37245,9
37506,9
38147,6
38365,6
38612,6
39286,8
39565,8
41562,0
42937,2
43224,2
44291,7
44508,7
44786,7
46756,7
46989,7
47267,7
49107,7
49355,7
49603,7
52255,100
53682,100
56337,0
56916,0
58857,6
59872,1
60396,1
61246,0
62517,1
65265,5
65631,5
65961,5
68004,0
69032,1
69417,1
70589,7
72216,100
